file_name,species,time
Frames/202506/Aspen Meadow Spring Elk 4/frame_0001.jpg,blank,01:28:39
Frames/202506/Lodge Mink 1/frame_0001.jpg,mouse species,03:09:54
Frames/202506/Mosquito Spring Moose 2/frame_0001.jpg,cervidae family,13:27:43
Frames/202506/Waxwing Spring Grey Fox 1/frame_0001.jpg,blank,00:12:15
Frames/202506/Waxwing x Spring Bear 10/frame_0010.jpg,animal,08:20:13
Frames/202506/Waxwing x Spring Bear 11/frame_0004.jpg,mammal,08:22:52
Frames/202506/Waxwing x Spring Bear 12/frame_0001.jpg,carnivorous mammal,08:23:22
Frames/202506/Waxwing x Spring Bear 13/frame_0010.jpg,carnivorous mammal,08:26:06
Frames/202506/Wetlands Moose 1/frame_0001.jpg,mammal,13:06:53
Frames/202410/Beaver Wetlands Bear 1/frame_0001.jpg,myocastoridae family,09:13:36
Frames/202410/Beaver Wetlands Beaver 1/frame_0001.jpg,mammal,09:34:21
Frames/202410/Beaver Wetlands Kingfisher 1/frame_0006.jpg,blank,09:34:11
Frames/202410/Beaver Wetlands Moose 2/frame_0001.jpg,elk,23:23:39
Frames/202410/Beaver Wetlands Raccoon 2/frame_0001.jpg,blank,00:52:55
Frames/202410/MA WR Elk Adjustment/frame_0001.jpg,animal,20:11:46
Frames/202410/MA WR Meadow Elk Adjustment 3/frame_0001.jpg,blank,00:55:07
Frames/202410/MA WR Meadow Last Upside Down/frame_0001.jpg,blank,10:49:45
Frames/202410/Spring Elk 2/frame_0005.jpg,animal,00:20:20
Frames/202410/Waxwing Spring Hairy Woodpeckers/frame_0002.jpg,blank,09:50:19
Frames/202504/WR Woods Wolf?!??!?!?/frame_0001.jpg,canine family,01:25:48
Frames/202504/Wetlands Bobcat 1/frame_0001.jpg,domestic cat,02:54:43
Frames/202411/Luna and the Bone/frame_0001.jpg,human,13:53:11
Frames/202411/WR Woods Mountain Lion 1/frame_0007.jpg,blank,02:00:46
Frames/202411/Waxwing Spring Coyote and Magpies/frame_0003.jpg,bird,10:07:25
Frames/202411/Wetlands Squirrel 1/frame_0001.jpg,tamiasciurus species,13:28:08
