file_name,date,time,seq_id,species,max_count,start_time,end_time,duration_seconds,match,folder,gpt_species,gpt_count,gpt_summary,gpt_individuals,sample_image
Frames/202506/Aspen Meadow Spring Elk 9/frame_0003.jpg,2020-01-20,04:07:04,folder_Aspen Meadow Spring Elk 9_10,elk,4,2020-01-20 04:07:00,2020-01-20 04:07:54,54,True,Frames/202506/Aspen Meadow Spring Elk 9,Cervus canadensis (elk),3,"In an aspen meadow, an adult elk is alert and observing two young calves engaged in playful behavior. The temperature is 71F, indicating a warm environment. The adult elk remains attentive while the calves interact energetically, suggesting a healthy and active group dynamic.","[{'id': 'elk_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'alert', 'interaction': 'near elk_calf_1 and elk_calf_2', 'notes': 'Standing and observing the calves.'}, {'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'playing', 'interaction': 'near elk_1 and elk_calf_2', 'notes': 'Engaged in playful behavior with elk_calf_2.'}, {'id': 'elk_calf_2', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'playing', 'interaction': 'near elk_1 and elk_calf_1', 'notes': 'Engaged in playful behavior with elk_calf_1.'}]",images/Frames/202506/Aspen Meadow Spring Elk 9/frame_0001.jpg
Frames/202506/Birdbath Grey Fox 1/frame_0001.jpg,2025-05-31,11:27:35,folder_Birdbath Grey Fox 1_11,grey fox,1,2025-05-31 11:27:35,2025-05-31 11:28:03,28,True,Frames/202506/Birdbath Grey Fox 1,Vulpes vulpes (red fox),1,"An adult red fox is observed drinking from a water source at the edge of a pine forest. The temperature is 66F, indicating a mild day. The fox appears healthy and is alone, with no other animals present in the sequence.","[{'id': 'fox_1', 'species': 'Vulpes vulpes (red fox)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'drinking', 'interaction': 'none', 'notes': 'The fox is drinking from a water source.'}]",images/Frames/202506/Birdbath Grey Fox 1/frame_0001.jpg
Frames/202506/Lodge Mink 1/frame_0001.jpg,2025-06-02,03:09:54,folder_Lodge Mink 1_12,mouse species,1,2025-06-02 03:09:54,2025-06-02 03:10:12,18,False,Frames/202506/Lodge Mink 1,Castor canadensis (beaver),2,"In the early morning hours near a riparian zone, two adult beavers were observed. One beaver was swimming in the water, while the other was on top of the lodge, possibly engaged in maintenance activities. The temperature was 36F, indicating a cool night. The scene suggests typical nocturnal behavior for beavers, with no immediate interactions between the individuals.","[{'id': 'beaver_1', 'species': 'Castor canadensis (beaver)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'swimming', 'interaction': 'none', 'notes': 'Near the water, possibly maintaining the lodge.'}, {'id': 'beaver_2', 'species': 'Castor canadensis (beaver)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'on lodge', 'interaction': 'none', 'notes': 'On top of the lodge, possibly foraging or maintaining structure.'}]",images/Frames/202506/Lodge Mink 1/frame_0001.jpg
Frames/202506/Mosquito Spring Bear 1/frame_0002.jpg,2025-06-21,15:39:28,folder_Mosquito Spring Bear 1_13,american black bear,2,2025-06-21 15:39:26,2025-06-21 15:40:12,46,True,Frames/202506/Mosquito Spring Bear 1,Ursus americanus (American black bear),1,"An adult American black bear is observed walking through a riparian zone near a stream in the afternoon. The temperature is notably high at 117F, which may influence the bear's behavior. The bear appears healthy and is moving steadily through the grassy area.","[{'id': 'bear_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'Bear is moving through a grassy area near a stream.'}]",images/Frames/202506/Mosquito Spring Bear 1/frame_0001.jpg
Frames/202506/Mosquito Spring Bear 3/frame_0001.jpg,2025-06-21,15:40:36,folder_Mosquito Spring Bear 3_14,american black bear,3,2025-06-21 15:40:36,2025-06-21 15:41:12,36,True,Frames/202506/Mosquito Spring Bear 3,Ursus americanus (American black bear),2,"In a forest edge habitat near Bailey or Evergreen, Colorado, an adult American black bear and its cub were observed walking together. The adult bear appeared healthy and was closely followed by the cub, indicating a typical parent-offspring interaction. The temperature was notably high at 122F, which may influence their activity levels during the day.","[{'id': 'bear_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near bear_cub_1', 'notes': 'Accompanied by a cub.'}, {'id': 'bear_cub_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near bear_1', 'notes': 'Following adult bear.'}]",images/Frames/202506/Mosquito Spring Bear 3/frame_0001.jpg
Frames/202506/Mosquito Spring Bear 4/frame_0006.jpg,2025-06-21,15:41:39,folder_Mosquito Spring Bear 4_15,american black bear,2,2025-06-21 15:41:29,2025-06-21 15:41:57,28,True,Frames/202506/Mosquito Spring Bear 4,Ursus americanus (black bear),3,"The camera trap captured an adult black bear and two cubs walking through a riparian zone at 3:41 PM on June 21, 2025. The temperature was notably high at 124F. The adult bear was leading the way, with the cubs closely following, indicating a family group moving through the area. All individuals appeared healthy and were engaged in walking behavior.","[{'id': 'bear_1', 'species': 'Ursus americanus (black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near bear_cub_1 and bear_cub_2', 'notes': 'Adult bear likely accompanying cubs.'}, {'id': 'bear_cub_1', 'species': 'Ursus americanus (black bear)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near bear_1 and bear_cub_2', 'notes': 'Cub following adult bear.'}, {'id': 'bear_cub_2', 'species': 'Ursus americanus (black bear)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near bear_1 and bear_cub_1', 'notes': 'Cub following adult bear.'}]",images/Frames/202506/Mosquito Spring Bear 4/frame_0001.jpg
Frames/202506/Mosquito Spring Bear 5 !/frame_0001.jpg,2025-06-21,20:22:40,folder_Mosquito Spring Bear 5 !_16,american black bear,2,2025-06-21 20:22:40,2025-06-21 20:23:10,30,True,Frames/202506/Mosquito Spring Bear 5 !,Ursus americanus (American black bear),2,"In a riparian zone near Bailey or Evergreen, Colorado, two young American black bear cubs are observed playing together in the evening. The temperature is a mild 68F, and the cubs appear healthy and active, engaging in social interactions typical of their age. The scene captures a moment of playful behavior, indicative of a safe and nurturing environment.","[{'id': 'bear_cub_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'playing', 'interaction': 'near bear_cub_2', 'notes': 'Engaged in playful behavior with another cub.'}, {'id': 'bear_cub_2', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'playing', 'interaction': 'near bear_cub_1', 'notes': 'Engaged in playful behavior with another cub.'}]",images/Frames/202506/Mosquito Spring Bear 5 !/frame_0001.jpg
Frames/202506/Mosquito Spring Elk 1/frame_0001.jpg,2025-06-14,17:13:09,folder_Mosquito Spring Elk 1_17,elk,2,2025-06-14 17:13:09,2025-06-14 17:14:05,56,True,Frames/202506/Mosquito Spring Elk 1,Cervus canadensis (elk),2,"In an aspen meadow near Bailey or Evergreen, Colorado, an adult elk and a young calf are observed. The adult elk is grazing while the calf is walking nearby, indicating a typical mother-offspring interaction. The temperature is 70F, suggesting a mild afternoon. Both animals appear healthy and are engaged in normal foraging behavior.","[{'id': 'elk_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_calf_1', 'notes': ''}, {'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near elk_1', 'notes': ''}]",images/Frames/202506/Mosquito Spring Elk 1/frame_0001.jpg
Frames/202506/Mosquito Spring Elk 2/frame_0005.jpg,2025-06-14,17:14:28,folder_Mosquito Spring Elk 2_18,elk,2,2025-06-14 17:14:20,2025-06-14 17:15:46,86,True,Frames/202506/Mosquito Spring Elk 2,Cervus canadensis (elk),2,"In a forest edge habitat near Bailey or Evergreen, Colorado, an adult elk and a calf are observed. The adult elk is grazing, while the calf follows closely and nurses. The temperature is 72F, indicating a warm afternoon. The elk appear healthy and are engaged in typical foraging and nurturing behaviors.","[{'id': 'elk_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_calf_1', 'notes': 'Consistently grazing throughout the sequence.'}, {'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'following', 'interaction': 'near elk_1', 'notes': 'Following and nursing from elk_1.'}]",images/Frames/202506/Mosquito Spring Elk 2/frame_0001.jpg
Frames/202506/Mosquito Spring Moose 1/frame_0001.jpg,2025-06-16,13:26:55,folder_Mosquito Spring Moose 1_19,moose,1,2025-06-16 13:26:55,2025-06-16 13:27:23,28,True,Frames/202506/Mosquito Spring Moose 1,Alces alces (moose),1,"An adult moose is observed grazing in a forest edge habitat near Bailey or Evergreen, Colorado. The weather is sunny with a temperature of 79F. The moose appears healthy and is moving through the area, engaging in grazing behavior.","[{'id': 'moose_1', 'species': 'Alces alces (moose)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'none', 'notes': 'The moose is seen grazing and moving through the area.'}]",images/Frames/202506/Mosquito Spring Moose 1/frame_0001.jpg
Frames/202506/Mosquito Spring Moose 2/frame_0001.jpg,2025-06-16,13:27:43,folder_Mosquito Spring Moose 2_20,cervidae family,2,2025-06-16 13:27:43,2025-06-16 13:28:13,30,False,Frames/202506/Mosquito Spring Moose 2,Alces alces (moose),2,"In a sunny forest edge habitat, an adult moose is seen walking with a young calf following closely behind. The temperature is warm at 81F, and the pair appears healthy and alert as they move through the area. The adult moose leads the way, indicating a typical parent-offspring dynamic.","[{'id': 'moose_1', 'species': 'Alces alces (moose)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near moose_calf_1', 'notes': 'Leading the calf'}, {'id': 'moose_calf_1', 'species': 'Alces alces (moose)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'following', 'interaction': 'near moose_1', 'notes': 'Following the adult moose'}]",images/Frames/202506/Mosquito Spring Moose 2/frame_0001.jpg
Frames/202506/Mosquito Spring Mule Deer1/frame_0001.jpg,2025-06-24,19:32:48,folder_Mosquito Spring Mule Deer1_21,mule deer,1,2025-06-24 19:32:48,2025-06-24 19:33:32,44,True,Frames/202506/Mosquito Spring Mule Deer1,Odocoileus hemionus (mule deer),1,"An adult mule deer is observed browsing in a riparian zone near Bailey or Evergreen, Colorado. The deer appears healthy with antlers in velvet, indicating it is likely a male. The temperature is 57F in the early evening, which is a typical time for deer to be active. The habitat is lush and supports the deer's foraging behavior.","[{'id': 'deer_1', 'species': 'Odocoileus hemionus (mule deer)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'browsing', 'interaction': 'none', 'notes': 'Antlers in velvet'}]",images/Frames/202506/Mosquito Spring Mule Deer1/frame_0001.jpg
Frames/202506/Rootball Spring Bear 1/frame_0001.jpg,2025-06-15,17:55:50,folder_Rootball Spring Bear 1_22,american black bear,1,2025-06-15 17:55:50,2025-06-15 17:56:18,28,True,Frames/202506/Rootball Spring Bear 1,Ursus americanus (American black bear),1,"In a mixed coniferous forest near Bailey or Evergreen, Colorado, an adult American black bear is observed walking near a small water source. The bear appears healthy and is moving through the area during the late afternoon with a temperature of 68F.","[{'id': 'bear_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'The bear is moving through the forest near a small water source.'}]",images/Frames/202506/Rootball Spring Bear 1/frame_0001.jpg
Frames/202506/Rootball Spring Bear 2/frame_0003.jpg,2025-06-23,09:09:40,folder_Rootball Spring Bear 2_23,american black bear,2,2025-06-23 09:09:36,2025-06-23 09:10:04,28,True,Frames/202506/Rootball Spring Bear 2,Ursus americanus (American black bear),1,"In a riparian zone near Bailey or Evergreen, Colorado, an adult American black bear was observed walking through the area at 09:09 AM. The temperature was 45F. The bear appeared healthy and was likely foraging. The scene was captured in a lush, green habitat typical of the region.","[{'id': 'bear_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'The bear is moving through the area, possibly foraging.'}]",images/Frames/202506/Rootball Spring Bear 2/frame_0001.jpg
Frames/202506/Rootball Spring Bobcat 1/frame_0001.jpg,2025-06-16,21:53:17,folder_Rootball Spring Bobcat 1_24,bobcat,1,2025-06-16 21:53:17,2025-06-16 21:53:35,18,True,Frames/202506/Rootball Spring Bobcat 1,Lynx rufus (bobcat),1,"A single adult bobcat was observed walking along the edge of a riparian zone at night. The temperature was 54F. The bobcat appeared healthy and was moving steadily, likely patrolling its territory or searching for prey.","[{'id': 'bobcat_1', 'species': 'Lynx rufus (bobcat)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'The bobcat is moving along the edge of a water body.'}]",images/Frames/202506/Rootball Spring Bobcat 1/frame_0001.jpg
Frames/202506/WR Woods Bear 1/frame_0001.jpg,2025-06-18,06:52:50,folder_WR Woods Bear 1_25,american black bear,1,2025-06-18 06:52:50,2025-06-18 06:53:18,28,True,Frames/202506/WR Woods Bear 1,Ursus americanus (American black bear),1,"In the early morning, an adult American black bear was observed walking through a mixed coniferous forest near Bailey or Evergreen, Colorado. The temperature was 38F, suggesting a cool morning. The bear appeared healthy and was likely foraging as it moved through the area.","[{'id': 'bear_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'The bear is moving through the area, possibly foraging.'}]",images/Frames/202506/WR Woods Bear 1/frame_0001.jpg
Frames/202506/WR Woods Bear 2/frame_0001.jpg,2020-08-05,20:09:21,folder_WR Woods Bear 2_26,american black bear,1,2020-08-05 20:09:21,2020-08-05 20:09:49,28,True,Frames/202506/WR Woods Bear 2,Ursus americanus (American black bear),1,"An adult American black bear is observed walking through a mixed coniferous forest near Bailey or Evergreen, Colorado. The bear appears healthy and is moving steadily through the area. The temperature is 48F, and the time is early evening, suggesting the bear may be active during cooler parts of the day.","[{'id': 'bear_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'Bear is moving through the forest.'}]",images/Frames/202506/WR Woods Bear 2/frame_0001.jpg
Frames/202506/WR Woods Bear 3/frame_0001.jpg,2020-07-29,04:30:12,folder_WR Woods Bear 3_27,american black bear,1,2020-07-29 04:30:12,2020-07-29 04:30:40,28,True,Frames/202506/WR Woods Bear 3,Ursus americanus (American black bear),1,"An adult American black bear is observed walking through a mixed coniferous forest near Bailey or Evergreen, Colorado, at 4:30 AM. The temperature is 71F, indicating a warm early morning. The bear appears healthy and is likely foraging as it moves through the area.","[{'id': 'bear_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'The bear is moving through the forest, likely foraging.'}]",images/Frames/202506/WR Woods Bear 3/frame_0001.jpg
Frames/202506/WR Woods Bear 4 Cubs/frame_0006.jpg,2020-08-05,20:21:59,folder_WR Woods Bear 4 Cubs_28,american black bear,2,2020-08-05 20:21:49,2020-08-05 20:22:25,36,True,Frames/202506/WR Woods Bear 4 Cubs,Ursus americanus (American black bear),2,"In a mixed coniferous forest near Bailey or Evergreen, Colorado, an adult American black bear and a cub were observed moving through the area. The adult bear was walking, with the cub following closely behind. The temperature was 48F, and the scene was captured in the evening, suggesting typical foraging or movement behavior for this time of day.","[{'id': 'bear_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near bear_cub_1', 'notes': 'Adult bear moving through forest.'}, {'id': 'bear_cub_1', 'species': 'Ursus americanus (American black bear)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'following', 'interaction': 'near bear_1', 'notes': 'Cub following adult bear.'}]",images/Frames/202506/WR Woods Bear 4 Cubs/frame_0001.jpg
Frames/202506/WR Woods Fox 1 with Cottontail/frame_0003.jpg,2025-06-24,18:40:51,folder_WR Woods Fox 1 with Cottontail_29,red fox,2,2025-06-24 18:40:47,2025-06-24 18:41:15,28,True,Frames/202506/WR Woods Fox 1 with Cottontail,Canis latrans (coyote),1,"In a mixed coniferous forest near Bailey or Evergreen, Colorado, an adult coyote is observed carrying prey in its mouth. The scene occurs in the early evening with a temperature of 64°F. The coyote appears healthy and is moving through the area without any interaction with other animals.","[{'id': 'coyote_1', 'species': 'Canis latrans (coyote)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'The coyote is carrying prey.'}]",images/Frames/202506/WR Woods Fox 1 with Cottontail/frame_0001.jpg
